iter	Logloss
0	0.6746903258
1	0.6584872279
2	0.6402782863
3	0.6234350936
4	0.610849606
5	0.5941392287
6	0.5802318495
7	0.5695451458
8	0.5584738933
9	0.5465879809
10	0.5363146764
11	0.5271520054
12	0.5185488234
13	0.5099685874
14	0.5026822121
15	0.4968842432
16	0.4889795615
17	0.4816649425
18	0.4729479419
19	0.464733428
20	0.4568898033
21	0.4498727565
22	0.44302144
23	0.4364642344
24	0.4312433401
25	0.4255302862
26	0.4206622882
27	0.417201261
28	0.4123585237
29	0.4081494785
30	0.4036269674
31	0.3991098634
32	0.3950975307
33	0.3898299907
34	0.3863785795
35	0.3831749025
36	0.3786879141
37	0.3749197626
38	0.3721308231
39	0.3694571379
40	0.3660456665
41	0.3637318177
42	0.3614689487
43	0.3600935324
44	0.3572849111
45	0.3545387893
46	0.352079877
47	0.3495122783
48	0.3474514072
49	0.3450382755
50	0.343264812
51	0.3411471547
52	0.3387736365
53	0.3371173505
54	0.3352727863
55	0.3339732801
56	0.3327903818
57	0.3308734147
58	0.3291200318
59	0.3276323022
60	0.3263510226
61	0.324825816
62	0.3229911274
63	0.3218320614
64	0.3210146751
65	0.32008135
66	0.3186268655
67	0.3176857619
68	0.3169739472
69	0.3158014623
70	0.314920582
71	0.3142243132
72	0.3132372831
73	0.3124092811
74	0.311857773
75	0.3109882726
76	0.3102912924
77	0.3094441523
78	0.3085034509
79	0.3080379443
80	0.3073664977
81	0.3062342712
82	0.3053066217
83	0.3046249847
84	0.3038246616
85	0.3032950017
86	0.3028149563
87	0.3021808834
88	0.3011369908
89	0.300651918
90	0.3000896213
91	0.2994124882
92	0.2986079546
93	0.2982788548
94	0.2975964688
95	0.2970789338
96	0.2962476027
97	0.2954825137
98	0.2946822385
99	0.2942484486
100	0.2936002691
101	0.2927006326
102	0.2923622476
103	0.2919123848
104	0.2914158764
105	0.2909007916
106	0.2904239234
107	0.2896149999
108	0.2892764552
109	0.2889062577
110	0.2881911118
111	0.287729824
112	0.287193714
113	0.2866484065
114	0.2861942945
115	0.2857985442
116	0.2851876168
117	0.2848572625
118	0.284641524
119	0.2840948844
120	0.2832210904
121	0.2826855785
122	0.2823197602
123	0.282007957
124	0.2813996795
125	0.2809703424
126	0.2805396491
127	0.280269064
128	0.2797943959
129	0.2795578462
130	0.2789356453
131	0.2785093645
132	0.2782995159
133	0.2780721257
134	0.2777649187
135	0.2773992054
136	0.2768512983
137	0.2765828222
138	0.2759919887
139	0.275804925
140	0.2754118027
141	0.2752065637
142	0.2749598493
143	0.2746627011
144	0.274358108
145	0.2739522988
146	0.2737996402
147	0.2735459941
148	0.2732009893
149	0.2728810762
150	0.2727009928
151	0.2724094026
152	0.2717979739
153	0.27148748
154	0.2709933117
155	0.2707279498
156	0.2703709125
157	0.2697824522
158	0.269564755
159	0.2692674424
160	0.2689250744
161	0.2685178656
162	0.2683660229
163	0.2681699745
164	0.267916188
165	0.2676797157
166	0.2673742571
167	0.2671048029
168	0.266969919
169	0.2667310393
170	0.2664568784
171	0.266254502
172	0.2659879428
173	0.2657252132
174	0.2655527114
175	0.2652862365
176	0.2651112654
177	0.264857632
178	0.2646623054
179	0.2644251387
180	0.2641303025
181	0.2638160738
182	0.263512218
183	0.2634095616
184	0.2631565685
185	0.2628588999
186	0.2625667253
187	0.2624317183
188	0.2622534362
189	0.2621423115
190	0.2618839553
191	0.261511636
192	0.2611409966
193	0.2608439144
194	0.2605428111
195	0.2603564806
196	0.260185863
197	0.2595062806
198	0.2592227078
199	0.2590178641
200	0.2586895747
201	0.2584196615
202	0.2580538082
203	0.2577549387
204	0.2575034206
205	0.2572640825
206	0.2571569963
207	0.2569762769
208	0.2568000813
209	0.2565633145
210	0.2564130837
211	0.2561211347
212	0.255945868
213	0.2557498175
214	0.2555375343
215	0.2553414449
216	0.2551085197
217	0.2548936788
218	0.2547609506
219	0.2546249093
220	0.2544060927
221	0.2542022836
222	0.2539387332
223	0.2536503743
224	0.2535218806
225	0.2533514034
226	0.2532646623
227	0.2531046137
228	0.252766855
229	0.2525028681
230	0.2522686947
231	0.2520940523
232	0.2518619713
233	0.2515614541
234	0.2513134806
235	0.2511282156
236	0.2510124906
237	0.2509521597
238	0.2507245623
239	0.250589962
240	0.2504262839
241	0.2502561096
242	0.250021975
243	0.2498222901
244	0.249637307
245	0.2495154469
246	0.2493184764
247	0.2492092814
248	0.2490462562
249	0.2488231826
250	0.2484807005
251	0.2482536333
252	0.2479812507
253	0.2478036644
254	0.2476488687
255	0.2474644508
256	0.2472779783
257	0.247175433
258	0.2471050157
259	0.2468770177
260	0.2466708519
261	0.2465166513
262	0.2462727833
263	0.2461427845
264	0.2459134974
265	0.2456936718
266	0.2454062129
267	0.2452162359
268	0.2449884055
269	0.2448246712
270	0.244642702
271	0.2444804961
272	0.2442228889
273	0.2440959696
274	0.2439429338
275	0.2437709921
276	0.2436347701
277	0.2435066543
278	0.243330651
279	0.2431553367
280	0.2430725284
281	0.242852701
282	0.2426805139
283	0.2424935511
284	0.2423000864
285	0.2420910894
286	0.2418874593
287	0.2417253195
288	0.2415815308
289	0.2414793659
290	0.2412998253
291	0.2410511908
292	0.2408105172
293	0.2406275408
294	0.240555655
295	0.2403902495
296	0.2402123196
297	0.240029479
298	0.2397533112
299	0.2395697952
300	0.239398167
301	0.2392966058
302	0.2391427324
303	0.2390129932
304	0.2388103782
305	0.2386881727
306	0.238482093
307	0.2383216321
308	0.2382007709
309	0.2380281116
310	0.2378052134
311	0.2376771896
312	0.2376244242
313	0.2375015079
314	0.2372856585
315	0.2370647816
316	0.2369218769
317	0.2367515481
318	0.2365996426
319	0.2363795956
320	0.2361636382
321	0.2360510126
322	0.2359365447
323	0.2358426212
324	0.2357021869
325	0.2354946002
326	0.2353171935
327	0.2351579029
328	0.2349800852
329	0.2348345575
330	0.234596792
331	0.2344402732
332	0.2343743091
333	0.234123171
334	0.2338659859
335	0.2336991975
336	0.2334644169
337	0.2333009756
338	0.2331943338
339	0.2330993175
340	0.2328705479
341	0.2327712952
342	0.2326669549
343	0.2325743205
344	0.2324733633
345	0.2322791316
346	0.2321430024
347	0.2320075605
348	0.2318224984
349	0.2316639012
350	0.2314760535
351	0.2313320969
352	0.2311548051
353	0.2310397039
354	0.2307571895
355	0.2304091785
356	0.2303276524
357	0.2299738701
358	0.2298289763
359	0.2296688753
360	0.2294567537
361	0.2293965454
362	0.2292459446
363	0.2290792036
364	0.228834166
365	0.228537441
366	0.2283715994
367	0.2282691022
368	0.2280671729
369	0.2279837315
370	0.2278748767
371	0.2277092536
372	0.2274401202
373	0.2272965068
374	0.2271453287
375	0.2269497634
376	0.2268038459
377	0.2264836646
378	0.2263956732
379	0.2262503639
380	0.2261313867
381	0.2259802485
382	0.2258419595
383	0.2256601645
384	0.2254337551
385	0.2253103762
386	0.2251050908
387	0.2249033331
388	0.2248028456
389	0.2246740866
390	0.2245038561
391	0.2243080524
392	0.2240774853
393	0.2238503809
394	0.2237694648
395	0.2236481137
396	0.2235063029
397	0.2233422078
398	0.2231301897
399	0.2229393571
400	0.2226410696
401	0.2224593892
402	0.22240161
403	0.2222426249
404	0.2219336864
405	0.2218349964
406	0.22164048
407	0.2214507652
408	0.2213004195
409	0.2210208776
410	0.2208001646
411	0.2206977191
412	0.2205244293
413	0.2203632362
414	0.2201346164
415	0.2199396631
416	0.2197575127
417	0.2196412306
418	0.2194617268
419	0.2191773919
420	0.2190507074
421	0.2188360569
422	0.2186302017
423	0.2184254165
424	0.2182953145
425	0.2181735418
426	0.2180971683
427	0.2179982757
428	0.2178703293
429	0.2176185709
430	0.2174637025
431	0.2174062008
432	0.2172720882
433	0.2170917332
434	0.2169584763
435	0.2168644541
436	0.2166450829
437	0.2164669641
438	0.2163654394
439	0.2162051594
440	0.2161111641
441	0.2159502408
442	0.2158557494
443	0.2156986293
444	0.2155347578
445	0.2154393399
446	0.2153140584
447	0.2151669612
448	0.2149494842
449	0.2149090924
450	0.2147593771
451	0.2146471265
452	0.2145315596
453	0.2143999185
454	0.2142877427
455	0.2141366921
456	0.2140432421
457	0.2138788145
458	0.2137904398
459	0.2136820515
460	0.2135818633
