iter	Passed	Remaining
0	5	5305
1	10	5211
2	15	5044
3	20	5000
4	24	4948
5	29	4955
6	34	4930
7	39	4861
8	44	4886
9	49	4908
10	54	4906
11	59	4930
12	64	4926
13	69	4922
14	74	4922
15	80	4928
16	85	4947
17	90	4930
18	95	4916
19	100	4924
20	105	4919
21	111	4962
22	116	4943
23	121	4929
24	125	4908
25	130	4894
26	134	4862
27	139	4831
28	143	4802
29	147	4762
30	151	4721
31	154	4681
32	158	4643
33	162	4608
34	165	4573
35	169	4541
36	173	4511
37	177	4487
38	180	4458
39	184	4427
40	188	4399
41	191	4375
42	196	4362
43	199	4339
44	203	4318
45	207	4296
46	210	4276
47	215	4264
48	219	4251
49	222	4233
50	226	4213
51	230	4194
52	234	4181
53	237	4166
54	241	4148
55	245	4132
56	248	4117
57	252	4100
58	256	4085
59	259	4070
60	263	4055
61	267	4043
62	271	4030
63	274	4016
64	278	4004
65	282	3995
66	286	3986
67	289	3973
68	293	3960
69	297	3947
70	300	3934
71	304	3923
72	308	3911
73	311	3902
74	315	3890
75	319	3881
76	323	3873
77	326	3862
78	330	3851
79	334	3841
80	337	3832
81	341	3823
82	345	3815
83	348	3805
84	352	3796
85	356	3788
86	360	3778
87	363	3768
88	367	3760
89	371	3752
90	374	3744
91	378	3736
92	382	3728
93	386	3720
94	389	3714
95	393	3706
96	397	3698
97	401	3691
98	404	3683
99	408	3676
100	412	3668
101	415	3660
102	419	3655
103	423	3648
104	427	3641
105	430	3633
106	434	3626
107	438	3620
108	442	3616
109	446	3609
110	449	3603
111	453	3596
112	457	3589
113	461	3583
114	464	3576
115	468	3569
116	472	3563
117	475	3557
118	479	3550
119	483	3543
120	486	3537
121	490	3530
122	494	3526
123	498	3520
124	501	3513
125	505	3508
126	509	3501
127	512	3494
128	516	3488
129	520	3482
130	524	3476
131	527	3471
132	531	3466
133	535	3459
134	539	3455
135	543	3449
136	546	3444
137	550	3438
138	554	3435
139	558	3430
140	562	3428
141	566	3423
142	570	3417
143	574	3412
144	577	3406
145	581	3400
146	585	3395
147	588	3389
148	592	3384
149	596	3378
150	599	3373
151	603	3368
152	607	3362
153	611	3356
154	614	3351
155	618	3345
156	622	3341
157	626	3336
158	629	3331
159	633	3326
160	637	3320
161	640	3315
162	644	3310
163	648	3305
164	651	3298
165	655	3293
166	659	3289
167	663	3284
168	666	3279
169	670	3274
170	674	3269
171	678	3264
172	681	3259
173	685	3253
174	689	3249
175	692	3244
176	696	3238
177	700	3233
178	704	3229
179	707	3224
180	711	3219
181	715	3214
182	718	3209
183	722	3204
184	726	3199
185	729	3194
186	733	3189
187	737	3184
188	741	3180
189	744	3175
190	748	3171
191	752	3167
192	756	3163
193	760	3159
194	764	3154
195	767	3149
196	771	3146
197	775	3141
198	779	3138
199	783	3133
200	787	3128
201	790	3124
202	794	3119
203	798	3114
204	802	3110
205	805	3105
206	809	3100
207	813	3096
208	816	3091
209	820	3086
210	824	3081
211	828	3077
212	831	3073
213	835	3068
214	839	3064
215	842	3059
216	846	3054
217	850	3050
218	853	3045
219	857	3040
220	861	3035
221	864	3031
222	868	3026
223	872	3022
224	876	3017
225	879	3013
226	883	3009
227	887	3004
228	891	2999
229	894	2995
230	898	2991
231	902	2987
232	906	2982
233	909	2978
234	913	2973
235	918	2974
236	923	2973
237	927	2969
238	931	2965
